Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
AA,1998-01-20,28.71609419815556,29.54743968811103,28.681453771693846,29.530120849609375,2176900.0,0.0,0.0
AA,2021-01-14,25.0,25.3799991607666,24.850000381469727,25.09000015258789,3988400.0,0.0,0.0
AXP,1998-01-20,17.604444707115345,17.765461928147232,17.537354666175144,17.69837188720703,4635200.0,0.0,0.0
AXP,2021-01-14,122.6500015258789,124.5,122.08999633789062,123.77999877929688,3404200.0,0.0,0.0
BA,1998-01-20,27.11147286426062,27.61859393941945,26.721379729523058,27.150482177734375,7730300.0,0.0,0.0
BA,2021-01-14,208.7899932861328,214.19000244140625,208.2100067138672,209.91000366210938,12412300.0,0.0,0.0
CAT,1998-01-20,10.050071191787719,10.050071191787719,9.883495426177978,9.994545936584473,6070400.0,0.0,0.0
CAT,2021-01-14,196.10000610351562,197.91000366210938,195.36000061035156,197.39999389648438,2483500.0,0.0,0.0
COKE,1998-01-20,41.221875788265244,42.274349212646484,39.950137067137916,42.274349212646484,76400.0,0.0,0.0
COKE,2021-01-14,263.2900085449219,265.7900085449219,258.510009765625,258.57000732421875,30300.0,0.0,0.0
CVX,1998-01-20,13.64368637179793,13.854613988611732,13.588179104215351,13.843512535095215,2305000.0,0.0,0.0
CVX,2021-01-14,93.94000244140625,96.31999969482422,93.79000091552734,95.48999786376953,13945400.0,0.0,0.0
DD,1998-01-20,18.83138977968781,19.178926278587532,18.818517934841992,19.11456871032715,1357600.0,0.0,0.0
DD,2021-01-14,82.12000274658203,83.2300033569336,81.58000183105469,82.61000061035156,13972900.0,0.0,0.0
DIA,1998-01-20,47.228394961376026,47.854313448815944,46.98182101177848,47.83534622192383,1744600.0,0.0,0.0
DIA,2021-01-14,310.6300048828125,312.268310546875,310.1300048828125,310.7200012207031,1787230.0,0.0,0.0
DIS,1998-01-20,24.565750297181484,25.327478828732048,24.565750297181484,25.232261657714844,4063400.0,0.0,0.0
DIS,2021-01-14,177.00999450683594,178.35000610351562,173.39999389648438,173.42999267578125,8940400.0,0.0,0.0
GE,1998-01-20,12.476662143643555,12.91238872475449,12.466035233703291,12.848624229431152,14545100.0,0.0,0.0
GE,2021-01-14,11.609999656677246,11.729999542236328,11.579999923706055,11.65999984741211,59143700.0,0.0,0.0
GM,1998-01-20,,,,,,,
GM,2021-01-14,49.5,51.869998931884766,49.33000183105469,51.529998779296875,36724600.0,0.0,0.0
GT,1998-01-20,46.17325348676767,47.56962203979492,45.80088853929374,47.56962203979492,380600.0,0.0,0.0
GT,2021-01-14,11.8100004196167,12.09000015258789,11.760000228881836,11.850000381469727,2266700.0,0.0,0.0
HON,1998-01-20,20.645309554929387,20.681152090304916,19.856771482011254,20.466096878051758,4055500.0,0.0,0.0
HON,2021-01-14,208.0399932861328,209.77999877929688,207.17999267578125,208.61000061035156,3659500.0,0.0,0.0
HPQ,1998-01-20,7.40128408852259,7.495614067982997,7.328722078248866,7.437564849853516,11295800.0,0.0,0.0
