Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
SHLDQ,2021-01-14,0.27000001072883606,0.30000001192092896,0.25999999046325684,0.27000001072883606,244200.0,0.0,0.0
T,1998-01-20,12.58748278053858,12.734827896698729,12.482236268995614,12.724303245544434,2794200.0,0.0,0.0
T,2021-01-14,28.649999618530273,29.770000457763672,28.530000686645508,29.290000915527344,63809800.0,0.0,0.0
TRV,1998-01-20,22.654517757735064,23.426830863112396,22.654517757735064,23.375343322753906,2795000.0,0.0,0.0
TRV,2021-01-14,142.42999267578125,143.1300048828125,141.11000061035156,142.32000732421875,1621900.0,0.0,0.0
UK,1998-01-20,,,,,,,
UK,2021-01-14,,,,,,,
WMT,1998-01-20,13.316330871182288,14.115731460605554,13.316330871182288,14.052620887756348,7682800.0,0.0,0.0
WMT,2021-01-14,147.82000732421875,148.0,146.0399932861328,146.97000122070312,7654400.0,0.0,0.0
XOM,1998-01-20,15.468194979172223,15.611566508330359,15.372613959733465,15.515985488891602,6348000.0,0.0,0.0
XOM,2021-01-14,48.5,51.08000183105469,48.5,50.310001373291016,35429400.0,0.0,0.0
